t,ev,ev_exact
0.0,(-0.49964270571677594+0j),(-0.49964270571677644+0j)
0.7070707070707071,(-0.4922594158399344-5.956444231910911e-20j),(-0.49246649115293073+0j)
1.4141414141414141,(-0.4914441414958479+6.096404010565765e-19j),(-0.4682660740145684+0j)
2.121212121212121,(-0.5110195212862004+1.9595772462896214e-17j),(-0.42310428856319404+0j)
2.8282828282828283,(-0.4494828222042211-8.987235567961462e-18j),(-0.35929126955288293+0j)
3.5353535353535355,(-0.3375420321168287+3.565768788453699e-19j),(-0.2878132927232543+0j)
4.242424242424242,(-0.29662640385041866+8.65441134809819e-17j),(-0.22321635963722558+0j)
4.94949494949495,(-0.07929847747362011+1.0370682149070663e-16j),(-0.17641295680070085+0j)
5.656565656565657,(0.10728964024918555-9.973798877092489e-17j),(-0.15120033472166436+0j)
6.363636363636363,(0.33811388489290856-8.884695144518682e-16j),(-0.1441415863599202+0j)
7.070707070707071,(0.5378417438565088-2.123228428994015e-15j),(-0.14432885924791986+0j)
7.777777777777778,(0.7655044246584685-3.999816399492132e-15j),(-0.13372302554196408+0j)
8.484848484848484,(0.8726660139410303-4.969003310818755e-15j),(-0.09313366836349263+0j)
9.191919191919192,(0.9557391800580519-4.0074155824228434e-15j),(-0.01482208221669648+0j)
9.8989898989899,(0.9530038687029624-1.3979626551396992e-15j),(0.08693826957681604+0j)
10.606060606060606,(0.8557039070052004+1.0867222386202145e-15j),(0.17876428967099536+0j)
11.313131313131313,(0.674979003510447+9.916003709220249e-16j),(0.22563906275520404+0j)
12.02020202020202,(0.5565344652512872-1.5228554106146533e-15j),(0.21036642257137467+0j)
12.727272727272727,(0.38015138481272487-2.621335441968026e-15j),(0.140511635896553+0j)
13.434343434343434,(0.07707222960867346-1.957747716415058e-15j),(0.0405422216333179+0j)
14.141414141414142,(-0.14022748337051008-1.1724422645190157e-15j),(-0.060723445899999576+0j)
14.848484848484848,(-0.31047478809126644-1.1166414211154784e-15j),(-0.1379959719592336+0j)
15.555555555555555,(-0.4459601451882318-2.171987815662876e-15j),(-0.1737317823110197+0j)
16.262626262626263,(-0.5010672433544364-2.534475167614829e-15j),(-0.1644564680295602+0j)
16.96969696969697,(-0.5448103618968924-2.894996161176729e-15j),(-0.12745059098923647+0j)
17.67676767676768,(-0.7431904942725766-1.2825118837221259e-15j),(-0.0975187128765471+0j)
18.383838383838384,(-0.8455639267833307+5.8845960858033705e-15j),(-0.10862273514753505+0j)
19.09090909090909,(-0.8716644711146799+1.0090551484727539e-14j),(-0.1713346618569685+0j)
19.7979797979798,(-0.8920459583141429+7.76595031106242e-15j),(-0.2654219096244013+0j)
20.505050505050505,(-0.9103047270702163+7.311522956507069e-15j),(-0.35493527207514397+0j)
21.21212121212121,(-0.9141825300564164+3.1061950930415747e-15j),(-0.4120200973425463+0j)
21.91919191919192,(-0.9124837999204628-2.6152220578934274e-15j),(-0.42859620244680996+0j)
22.626262626262626,(-0.7835599425702348+7.810248854370739e-15j),(-0.4099123432520214+0j)
23.333333333333332,(-0.5522952140873005+1.5061883374068166e-14j),(-0.36316011742659615+0j)
24.04040404040404,(-0.35421502173284025+1.3625390442490386e-14j),(-0.2956376142123042+0j)
24.747474747474747,(-0.21248000247813478+9.725103200623212e-15j),(-0.22056183242385297+0j)
25.454545454545453,(-0.05755119931198498+4.212354384278003e-15j),(-0.15661090703064542+0j)
26.161616161616163,(0.169797246715217-1.6101642333706308e-15j),(-0.11567175543747031+0j)
26.86868686868687,(0.31994901007360416-8.162525262601311e-15j),(-0.09134130985384364+0j)
27.575757575757574,(0.460789449678955-1.39853529079309e-14j),(-0.06404978017552046+0j)
28.282828282828284,(0.5128656934040922-9.422444959659464e-15j),(-0.02053586725756615+0j)
28.98989898989899,(0.5100568938969811-6.794915214728089e-15j),(0.03298709966897364+0j)
29.696969696969695,(0.5679056250518733-5.030772820373313e-15j),(0.07946133724151036+0j)
30.404040404040405,(0.7872466829309438-6.719706380897922e-15j),(0.11216844073705759+0j)
31.11111111111111,(0.9743043446031208-7.555466459990578e-15j),(0.14383856140089862+0j)
31.818181818181817,(1.0012036613581823-6.035156351695635e-15j),(0.1923043602482743+0j)
32.525252525252526,(0.9886747232363957-6.605480824708473e-15j),(0.2584985065986771+0j)
33.23232323232323,(0.8794300246734269-5.382751428931672e-15j),(0.3216400474047616+0j)
33.93939393939394,(0.7672277301816711-3.841237266305366e-15j),(0.3565333430525369+0j)
34.64646464646464,(0.7254926902138038-4.482195420781025e-15j),(0.35293087675061646+0j)
35.35353535353536,(0.5942554070680766-3.5522485898948795e-15j),(0.3166913129225518+0j)
36.06060606060606,(0.3967999977641701-2.4363700084037993e-15j),(0.256255645794965+0j)
36.76767676767677,(0.17350092800593392-1.6326231112659925e-15j),(0.17546689099494517+0j)
37.474747474747474,(-0.10305480095124572+3.988527725674757e-15j),(0.08287795078173432+0j)
38.18181818181818,(-0.45772732566732555+1.4188060153664577e-14j),(0.0025625985824514266+0j)
38.888888888888886,(-0.5997125687450502+1.6565238665601917e-14j),(-0.034713124897444006+0j)
39.5959595959596,(-0.7383668644802976+2.082040244748996e-14j),(-0.017960667049430307+0j)
40.303030303030305,(-0.7354386161644019+1.903014900825071e-14j),(0.027148848608760413+0j)
41.01010101010101,(-0.6981462800342364+1.4656122893671665e-14j),(0.05307868910572792+0j)
41.717171717171716,(-0.7558322758080055+8.283992571720619e-15j),(0.02638824416506786+0j)
42.42424242424242,(-0.8537889578029897-7.170933734668484e-15j),(-0.04888992689401028+0j)
43.13131313131313,(-0.9136909201057815-3.590860971241437e-15j),(-0.1407763419241737+0j)
43.83838383838384,(-0.83534231645197+8.109063188517692e-15j),(-0.2173441835793123+0j)
44.54545454545455,(-0.6716780271944669+7.580906058261722e-15j),(-0.2628077190645131+0j)
45.25252525252525,(-0.5139606783488866+4.1685457457842384e-15j),(-0.2710077478628255+0j)
45.95959595959596,(-0.37101676466712274+4.000016288952733e-15j),(-0.23474999854843562+0j)
46.666666666666664,(-0.260992336527691-3.2629107912429614e-15j),(-0.15156457461584266+0j)
47.37373737373738,(-0.05447420622733153-4.025462628848364e-15j),(-0.03996949745930173+0j)
48.08080808080808,(0.11722699833742026-6.687289023840975e-15j),(0.05955539439177475+0j)
48.78787878787879,(0.3380469567680343-1.1450078826925873e-14j),(0.11023180723507132+0j)
49.494949494949495,(0.4229384356906687-1.210667418525052e-14j),(0.10943100948633176+0j)
50.2020202020202,(0.568445332282583-1.2378883657751725e-14j),(0.09121430250501489+0j)
50.90909090909091,(0.6428119816651636-1.3078753905821282e-14j),(0.09584015264278187+0j)
51.61616161616162,(0.6506157075618184-1.718859582314487e-14j),(0.13668739508815897+0j)
52.323232323232325,(0.6354937939508934-1.4015480682149967e-14j),(0.19709158523982176+0j)
53.03030303030303,(0.537688470567137-1.8917637949944468e-14j),(0.25547623288146093+0j)
53.73737373737374,(0.45554577853402634-2.4152928542051492e-14j),(0.30690634682976464+0j)
54.44444444444444,(0.3962561237064445-2.0842171148515596e-14j),(0.3576560252845538+0j)
55.15151515151515,(0.30799182021313415-1.4674549886912968e-14j),(0.4045673478481255+0j)
55.85858585858586,(0.21660937934101407-7.612506683330591e-15j),(0.42920593989735223+0j)
56.56565656565657,(0.13415264336798852+2.990630890004557e-15j),(0.4163016811668417+0j)
