t,ev,ev_exact,orth_len,ints_err
0.0,(-0.49964270571677594+0j),(-0.4996427057167751+0j),6.0,
0.30303030303030304,(-0.4993788791797844-1.1362083247913538e-20j),(-0.49946344618110605+0j),6.0,
0.6060606060606061,(-0.49717522284231386+1.3610152856270584e-19j),(-0.49888589713083764+0j),6.0,
0.9090909090909092,(-0.5290816905807123-1.739256827815158e-18j),(-0.4978151252829058+0j),6.0,
1.2121212121212122,(-0.5371487185816187-1.0979867439639953e-18j),(-0.4961613101077828+0j),-1.0,
1.5151515151515151,(-0.5508039309912514+1.358100102161339e-18j),(-0.4939032792680755+0j),-1.0,
1.8181818181818183,(-0.5950466574462226-4.7279776068990767e-17j),(-0.491122256537971+0j),-1.0,
2.121212121212121,(-0.5882275828700008-1.3860881402856097e-16j),(-0.487989927210233+0j),-1.0,
2.4242424242424243,(-0.5780293546339531+1.9106781456900664e-15j),(-0.4847195199502313+0j),-1.0,
2.7272727272727275,(-0.6040852823473467+1.2223108261237686e-14j),(-0.48150651948365875+0j),-1.0,
3.0303030303030303,(-0.6108567867114849+1.291809436549141e-14j),(-0.47848797903225254+0j),-1.0,
3.3333333333333335,(-0.6185376454654741+1.1905665435807876e-14j),(-0.4757368801613586+0j),-1.0,
3.6363636363636367,(-0.6419994712815568-3.4272634432300677e-15j),(-0.4732889505082631+0j),-1.0,
3.9393939393939394,(-0.656331877459571-8.134528646256729e-14j),(-0.4711841574269031+0j),-1.0,
4.242424242424242,(-0.6755392443832796-5.2562437313411833e-14j),(-0.4695000738783663+0j),-1.0,
4.545454545454546,(-0.7053062953448588-2.5647395900700292e-14j),(-0.4683597931959368+0j),-1.0,
4.848484848484849,(-0.719719339249503-1.644328148764109e-13j),(-0.4679089149099296+0j),-1.0,
5.151515151515151,(-0.7294385725411847-2.993665447501369e-13j),(-0.46826908873457745+0j),-1.0,
5.454545454545455,(-0.7460414418171561-8.465083407422954e-14j),(-0.46948553846189395+0j),-1.0,
5.757575757575758,(-0.7419809099020833-2.2585606451251782e-14j),(-0.4714899860746979+0j),-1.0,
6.0606060606060606,(-0.7308558779906834-2.6641833095138034e-15j),(-0.4740968544316132+0j),-1.0,
